Project ID,Country,Interest Rate,Project Name,Original Amount,First Repayment Date,Last Repayment Date
P037383,France,4.25,RECONSTRUCTION,250000000,01/11/1952,01/05/1977
P037362,Denmark,4.25,RECONSTRUCTION,40000000,01/02/1953,01/08/1972
P037451,Luxembourg,4.25,RECONSTRUCTION,12000000,15/07/1949,15/07/1972
P037358,Belgium,4.25,INDUSTRY,16000000,01/09/1953,01/03/1969
P037359,Belgium,4.5,GENERAL DEVELOPMENT,30000000,15/03/1957,15/09/1976
P037466,Norway,4.75,GENERAL DEVELOPMENT,25000000,15/10/1957,15/04/1974
P037360,Belgium,4.63,PORT,20000000,15/02/1965,15/08/1969
P037467,Norway,4.75,GENERAL DEVELOPMENT,25000000,15/11/1960,15/05/1975
P037468,Norway,4.75,TOKKE POWER,25000000,01/08/1961,01/08/1976
P003336,Myanmar,4.75,RAILWAY,5350000,15/10/1959,15/04/1971
P003335,Myanmar,4.75,RANGOON PORT,14000000,15/04/1960,15/04/1976
P007270,Haiti,4.5,HIGHWAY MAINTENANCE,2600000,01/07/1961,01/07/1972
P003264,Southern Africa,5,POWER II,80000000,01/06/1963,01/12/1981
P000165,Burundi,5.63,ROADS,4800000,15/01/1961,15/07/1977
P037361,Belgium,5.75,TRANSPORT,10000000,01/03/1963,01/09/1972
P037363,Denmark,5.75,POWER,20000000,01/08/1962,01/08/1978
P037469,Norway,6,POWER,20000000,15/03/1964,15/09/1984
P001813,Mauritania,6.25,MIFERMA IRON ORE MIN,66000000,01/01/1966,01/07/1975
P037470,Norway,5.75,TOKKE POWER EXPANSION,25000000,15/11/1964,15/11/1985
P003337,Myanmar,5.75,RAILWAY II,14000000,01/03/1964,01/03/1977
P037364,Denmark,5.5,POWER,25000000,01/02/1967,01/08/1983
P005346,Malta,5.5,INDUSTRIAL RESEARCH,7500000,15/04/1966,15/04/1983
P037471,Norway,5.5,RANA-TROLLHEIM POWER,25000000,15/11/1968,15/11/1988
P037461,New Zealand,5.5,HARBOUR,7800000,15/02/1968,15/02/1989
P037460,New Zealand,5.5,POWER I,32500000,15/09/1966,15/03/1984
P002387,Sierra Leone,5.5,POWER,3800000,15/05/1967,15/11/1984
P003267,Southern Africa,5.5,POWER III,7700000,01/03/1968,01/09/1989
P037463,New Zealand,6.25,RAILWAYS I,42000000,15/04/1970,15/10/1980
P037462,New Zealand,6.25,POWER II,20500000,15/03/1969,15/09/1980
P001468,Madagascar,6,EDUCATION,4800000,01/04/1977,01/04/1997
P002388,Sierra Leone,6.25,POWER II,3900000,15/02/1972,15/08/1988
P001019,Guinea,6.5,BOKE ORE TRANSPORTAT,64500000,01/10/1973,01/10/1992
P001470,Madagascar,6.5,ROADS & BRIDGES,3500000,15/10/1978,15/10/1998
P001469,Madagascar,6.5,BEEF CATTLE DEVELOPM,2800000,15/04/1978,15/04/1991
P002391,Sierra Leone,7.25,BO KENEMA ROAD,3700000,01/04/1976,01/10/1992
P002390,Sierra Leone,8,BO KENEMA ROAD,2300000,01/04/1976,01/10/1992
P037464,New Zealand,7.25,RAILWAYS II,16000000,15/10/1973,15/10/1985
P001020,Guinea,7.25,BOKE EXTENTION,9000000,01/10/1973,01/10/1992
P037465,New Zealand,7.25,DFC I,8000000,15/02/1979,15/02/1979
